Time,NetIncome
3/31/20,2535
12/31/19,3268
9/30/19,2134
6/30/19,2625
3/31/19,3561
12/31/18,3027
9/30/18,2883
6/30/18,2534
3/31/18,1629
12/31/17,1856
9/30/17,256
6/30/17,197
3/31/17,724
12/31/16,749
9/30/16,252
6/30/16,857
3/31/16,513
12/31/15,482
9/30/15,79
6/30/15,92
3/31/15,-57
12/31/14,214
9/30/14,-437
6/30/14,-126
3/31/14,108
12/31/13,240
9/30/13,-41
6/30/13,-7
3/31/13,82
12/31/12,98
9/30/12,-274
6/30/12,7
3/31/12,130
12/31/11,176
9/30/11,63
6/30/11,191
3/31/11,201
12/31/10,415
9/30/10,231
6/30/10,207
3/31/10,299
12/31/09,384
9/30/09,199
6/30/09,142
3/31/09,177
12/31/08,226
9/30/08,118
6/30/08,158
3/31/08,143
12/31/07,207
9/30/07,80
6/30/07,78
3/31/07,111
12/31/06,98
9/30/06,19
6/30/06,22
3/31/06,51
12/31/05,199
9/30/05,30
6/30/05,52
3/31/05,78
